FRN,471 Application Number,BEN,Applicant Name,Type of Connections,Number of Lines,Download Speed
2567225,942239,123340,AVALON SCHOOL DISTRICT,Cable,1,100
2567226,942204,140636,RED LICK INDEP SCHOOL DISTRICT,Cellular Wireless,1,1
2567227,942137,136971,PALMYRA SCHOOL DISTRICT R 1,Fiber optic/OC-x,1,100
2567228,942099,139694,CLARKSVILLE PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,200
2567238,941936,140804,DOUGLASS INDEP SCHOOL DISTRICT,T3/DS-3,1,45
2567254,942119,230132,CENTERVILLE (LEON) ISD,Fiber optic/OC-x,1,20
2567260,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cable,2,5
2567260,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cellular Wireless,11,4
2567260,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2567264,942155,127507,EARLY COUNTY SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,100
2567266,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cable,2,5
2567266,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cellular Wireless,11,4
2567266,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2567267,941957,140804,DOUGLASS INDEP SCHOOL DISTRICT,T3/DS-3,1,45
2567271,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cable,2,5
2567271,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cellular Wireless,11,4
2567271,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2567272,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,T1/DS-1,5,1.5
2567273,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cable,2,5
2567273,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cellular Wireless,11,4
2567273,941395,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2567276,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,DSL,1,3
2567278,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,Cellular Wireless,41,1000
2567279,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,T1/DS-1,2,1.5
2567283,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,T1/DS-1,1,1.5
2567283,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,T3/DS-3,2,45
2567287,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,Fiber optic/OC-x,9,100
2567287,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2567289,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2567290,942166,191394,CLARE PUBLIC LIBRARY,Fiber optic/OC-x,1,6
2567295,942163,143877,LINDSAY UNIF SCHOOL DISTRICT,T1/DS-1,3,1.5
2567305,942183,120270,NORTH BROOKFIELD SCHOOL DIST,Fiber optic/OC-x,1,35
2567310,942188,57589,LEIGHTON TOWNSHIP LIBRARY,Cable,1,40
2567313,942191,140786,ALTO INDEP SCHOOL DISTRICT,Cellular Wireless,4,1
2567314,942191,140786,ALTO INDEP SCHOOL DISTRICT,T1/DS-1,1,1.5
2567315,942189,130719,VIGO COUNTY SCHOOL CORPORATION,Fiber optic/OC-x,29,1000
2567316,942191,140786,ALTO INDEP SCHOOL DISTRICT,T1/DS-1,1,1.5
2567321,942151,141691,BLANCO INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2567322,942197,144127,MILLBRAE ELEM SCHOOL DISTRICT,T1/DS-1,3,1.5
2567323,942191,140786,ALTO INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,20
2567324,942197,144127,MILLBRAE ELEM SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2567325,942197,144127,MILLBRAE ELEM SCHOOL DISTRICT,T1/DS-1,1,1.5
2567326,941154,16064135,NEBRASKA UNIFIIED DISTRICT 1,Fiber optic/OC-x,1,40
2567333,942197,144127,MILLBRAE ELEM SCHOOL DISTRICT,T1/DS-1,2,1.5
2567346,942184,125484,GREENVILLE AREA SCHOOL DIST,T1/DS-1,1,1.5
2567357,942221,144587,NEW HOPE ELEM SCHOOL DISTRICT,Cellular Wireless,3,4000
2567359,942221,144587,NEW HOPE ELEM SCHOOL DISTRICT,T1/DS-1,6,1.5
2567367,939553,124860,WESTERN NY LIB RSRCS COUNCIL,Fiber optic/OC-x,1,10
2567373,942229,143269,NEW MEXICO STATE LIBRARY,Satellite,1,1.5
2567384,941997,143997,MUROC JT UNIFIED SCHOOL DIST,T1/DS-1,3,1.5
2567385,942236,124936,DALTON NUNDA CENTRAL DISTRICT,Cellular Wireless,2,25
2567405,942270,124795,LETCHWORTH CENTRAL SCHOOL DIST,Cellular Wireless,9,25
2567408,942250,127507,EARLY COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,10000
2567409,937068,120894,HUDSON SCHOOL DISTRICT,Cable,2,20
2567409,937068,120894,HUDSON SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2567413,942285,143997,MUROC JT UNIFIED SCHOOL DIST,Fiber optic/OC-x,1,50
2567416,942290,129562,MAPLEWOOD AREA J V S D,Dial-up,9,0.056
2567417,942300,124972,WARSAW CENTRAL SCHOOL DISTRICT,Cellular Wireless,4,25
2567420,942290,129562,MAPLEWOOD AREA J V S D,Cellular Wireless,27,10
2567424,942038,153532,TALMUD TORAH ADAS YEREIM,Cellular Wireless,1,3
2567457,942285,143997,MUROC JT UNIFIED SCHOOL DIST,Fiber optic/OC-x,1,100
2567463,942285,143997,MUROC JT UNIFIED SCHOOL DIST,Fiber optic/OC-x,1,150
2567482,942290,129562,MAPLEWOOD AREA J V S D,T1/DS-1,1,1.5
2567485,942249,7302,BENEDICTINE ACADEMY,Cable,1,30
2567488,942304,144132,PACIFICA SCHOOL DISTRICT,DSL,1,50
2567493,938553,140671,ELYSIAN FIELDS SCHOOL DISTRICT,Fiber optic/OC-x,3,50
2567496,942243,136112,SHERRARD COMM SCHOOL DIST 200,Fiber optic/OC-x,2,20
2567506,942243,136112,SHERRARD COMM SCHOOL DIST 200,Fiber optic/OC-x,2,50
2567512,942299,130187,CARMEL-CLAY SCHOOLS,Fiber optic/OC-x,11,150
2567512,942299,130187,CARMEL-CLAY SCHOOLS,Fiber optic/OC-x,2,500
2567512,942299,130187,CARMEL-CLAY SCHOOLS,Fiber optic/OC-x,1,2500
2567515,941961,125661,MANSFIELD FREE PUBLIC LIBRARY,DSL,2,7
2567523,942038,153532,TALMUD TORAH ADAS YEREIM,DSL,1,20
2567527,942299,130187,CARMEL-CLAY SCHOOLS,Fiber optic/OC-x,2,750
2567529,936752,157613,KIRYAS JOEL UNION FREE SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2567535,942314,107379,CLAY ELEMENTARY SCHOOL,Non-Cellular Wireless (e.g.microwave),1,100
2567540,942041,136534,NAUVOO-COLUSA C U SCH DIST 325,Cable,1,50
2567555,942311,57999,ST THOMAS THE APOSTLE SCHOOL,Fiber optic/OC-x,1,45
2567559,938252,141850,MCLEAN INDEP SCHOOL DISTRICT,T3/DS-3,1,45
2567563,942294,136776,PATOKA COMM UNIT SCH DIST 100,DSL,1,10
2567566,942311,57999,ST THOMAS THE APOSTLE SCHOOL,Cable,1,100
2567570,942295,125347,SALISBURY-ELK LICK SCHOOL DIST,Cellular Wireless,1,6
2567579,942258,136420,DAMIANSVILLE SCHOOL DIST 62,Cable,1,30
2567586,937068,120894,HUDSON SCHOOL DISTRICT,T1/DS-1,1,1.5
2567589,936752,157613,KIRYAS JOEL UNION FREE SCHOOL DISTRICT,Cable,1,1000
2567591,942257,32957,PAIDEIA SCHOOL,Fiber optic/OC-x,1,50
2567591,942257,32957,PAIDEIA SCHOOL,T1/DS-1,1,1.5
2567598,942328,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cable,2,5
2567598,942328,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Cellular Wireless,11,4
2567598,942328,138380,FILLMORE CENTRAL PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2567600,937068,120894,HUDSON SCHOOL DISTRICT,Cellular Wireless,28,1.5
2567603,942345,16067832,FLEXTECH HIGH SCHOOL,Fiber optic/OC-x,1,50
2567621,936752,157613,KIRYAS JOEL UNION FREE SCHOOL DISTRICT,T1/DS-1,1,1.5
2567622,942269,16056774,MARTIN LUTHER KING JR. CHARTER SCHOOL,Cable,1,12
2567641,942041,136534,NAUVOO-COLUSA C U SCH DIST 325,T1/DS-1,1,1.5
2567645,942041,136534,NAUVOO-COLUSA C U SCH DIST 325,T1/DS-1,1,1.5
2567651,942192,141410,FRANKLIN INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,40
2567666,942389,138726,AMHERST PUBLIC SCHOOL DISTRICT,Cable,1,200
2567670,942292,136545,ALTAMONT SCHOOL DISTRICT 10,Fiber optic/OC-x,1,35
2567672,942192,141410,FRANKLIN INDEP SCHOOL DISTRICT,T1/DS-1,1,1.5
2567682,942192,141410,FRANKLIN INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,40
2567683,942371,133377,LAKE HOLCOMBE SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2567687,939928,116858,TRINITY SCHOOL,DSL,5,20
2567690,942368,138189,MONTEZUMA UNIF SCHOOL DIST 371,Fiber optic/OC-x,1,50
2567697,941927,131854,ELLSWORTH PUBLIC LIBRARY,DSL,1,4
2567709,942358,133161,SEYMOUR COMM SCHOOL DISTRICT,T1/DS-1,1,1.5
2567714,942350,127772,DELRAY BEACH PUBLIC LIBRARY,T1/DS-1,113,1.5
2567732,942264,78723,NEBRASKA LUTHERAN HIGH SCHOOL,Fiber optic/OC-x,1,50
2567736,941432,140038,BARTLESVILLE SCHOOL DISTRICT,Fiber optic/OC-x,11,1000
2567739,942383,131929,PANORAMA COMM SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2567740,942377,139651,FLIPPIN PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2567742,942404,219593,THE EVANGELICAL SCHOOL FOR THE DEAF,Fiber optic/OC-x,1,25
2567746,942410,126466,MADISON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,5,10
2567750,941946,144296,MILPITAS UNIF SCHOOL DISTRICT,Dial-up,1,0.056
2567755,941432,140038,BARTLESVILLE SCHOOL DISTRICT,Fiber optic/OC-x,1,250
2567756,941946,144296,MILPITAS UNIF SCHOOL DISTRICT,Cellular Wireless,35,1000
2567761,941946,144296,MILPITAS UNIF SCHOOL DISTRICT,Cellular Wireless,60,1000
2567769,942410,126466,MADISON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,2,50
2567769,942410,126466,MADISON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,500
2567770,941432,140038,BARTLESVILLE SCHOOL DISTRICT,DSL,1,1
2567774,941946,144296,MILPITAS UNIF SCHOOL DISTRICT,Fiber optic/OC-x,13,1000
2567774,941946,144296,MILPITAS UNIF SCHOOL DISTRICT,Fiber optic/OC-x,1,10000
2567778,942104,139946,THOMAS INDEP SCHOOL DISTRICT 6,Fiber optic/OC-x,1,100
2567782,941946,144296,MILPITAS UNIF SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2567783,942416,135459,DU PAGE HIGH SCH DISTRICT 88,Fiber optic/OC-x,1,300
2567788,939826,143976,BLOCHMAN UNION ELEM SCH DIST,T1/DS-1,5,1.5
2567790,942266,16034429,KINGMAN ACADEMY OF LEARNING- DISTRICT OFFICE,Cable,1,10
2567790,942266,16034429,KINGMAN ACADEMY OF LEARNING- DISTRICT OFFICE,Cable,2,15
2567790,942266,16034429,KINGMAN ACADEMY OF LEARNING- DISTRICT OFFICE,Cable,1,100
2567793,941946,144296,MILPITAS UNIF SCHOOL DISTRICT,T1/DS-1,5,1.5
2567810,941946,144296,MILPITAS UNIF SCHOOL DISTRICT,Fiber optic/OC-x,10,1000
2567811,941658,139311,MOREHOUSE PARISH LIBRARY,Fiber optic/OC-x,1,10
2567826,942406,133689,ARROWHEAD LIBRARY SYSTEM,Fiber optic/OC-x,5,10
2567826,942406,133689,ARROWHEAD LIBRARY SYSTEM,Fiber optic/OC-x,21,100
2567833,942406,133689,ARROWHEAD LIBRARY SYSTEM,Cable,1,11
2567836,942193,80001,AUDUBON - CARROLLTON,Fiber optic/OC-x,1,50
2567837,942406,133689,ARROWHEAD LIBRARY SYSTEM,Cellular Wireless,1,3
2567843,942245,142393,CARNEGIE PUBLIC LIBRARY,Satellite,1,32
2567848,942193,80001,AUDUBON - CARROLLTON,Fiber optic/OC-x,2,50
2567852,942245,142393,CARNEGIE PUBLIC LIBRARY,Cable,1,32
2567862,939074,99181,ST BONAVENTURE SCHOOL,T1/DS-1,2,1.5
2567869,942459,143878,LOST HILLS UN ELEM SCH DIST,Cellular Wireless,9,4000
2567872,942459,143878,LOST HILLS UN ELEM SCH DIST,Fiber optic/OC-x,1,45
2567886,939826,143976,BLOCHMAN UNION ELEM SCH DIST,T1/DS-1,4,1.5
2567892,942378,112380,WILLOW CREEK ELEMENTARY SCHOOL,T1/DS-1,1,1.5
2567905,942449,16066957,SLAVIC CHRISTIAN ACADEMY,Cellular Wireless,2,5
2567922,942489,130962,GROSSE POINTE PUBLIC SCHOOLS,Cellular Wireless,93,3
2567926,942489,130962,GROSSE POINTE PUBLIC SCHOOLS,Fiber optic/OC-x,1,300
2567928,942489,130962,GROSSE POINTE PUBLIC SCHOOLS,Fiber optic/OC-x,16,1000
2567928,942489,130962,GROSSE POINTE PUBLIC SCHOOLS,Fiber optic/OC-x,1,10000
2567931,939022,140129,CLEORA PUBLIC SCHOOLS,Fiber optic/OC-x,1,20
2567938,942449,16066957,SLAVIC CHRISTIAN ACADEMY,DSL,1,16
2567944,942478,16049183,TRINITY ALPS UNIFIED SCHOOL DISTRICT,T1/DS-1,8,1.5
2567953,942493,144273,TAMALPAIS UNION H S DISTRICT,Cellular Wireless,19,3000
2567955,942493,144273,TAMALPAIS UNION H S DISTRICT,Dial-up,3,0.056
2567955,942493,144273,TAMALPAIS UNION H S DISTRICT,T1/DS-1,6,1.5
2567961,942494,116931,ST MARY'S SCHOOL,T1/DS-1,200,1.5
2567993,942498,16068327,COLEGIO CATOLICO DE COAMO INC,Fiber optic/OC-x,1,15
2567997,940261,133597,G F W SCHOOL DISTRICT 2365,Fiber optic/OC-x,1,100
2567998,940261,133597,G F W SCHOOL DISTRICT 2365,Cable,1,20
2568047,941776,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,100
2568050,942588,134356,WEST FARGO SCHOOL DISTRICT 6,Cellular Wireless,2,30
2568078,942574,228840,CONGREGATION ATERES TZVI,DSL,1,20
2568080,942574,228840,CONGREGATION ATERES TZVI,DSL,1,20
2568090,942578,126068,SOUDERTON AREA SCHOOL DISTRICT,Fiber optic/OC-x,1,30
2568094,942578,126068,SOUDERTON AREA SCHOOL DISTRICT,Fiber optic/OC-x,20,1000
2568097,942577,128953,FULTON CITY INDEP SCHOOL DIST,Fiber optic/OC-x,1,1000
2568105,942607,141691,BLANCO INDEP SCHOOL DISTRICT,Fiber optic/OC-x,4,50
2568114,942210,127355,HABERSHAM COUNTY SCHOOL DIST,Fiber optic/OC-x,1,1000
2568119,942591,141071,MILANO INDEP SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,15
2568141,942603,123187,GREENWICH TOWNSHIP SCHOOL DIST,T3/DS-3,2,45
2568144,942583,71721,STREATOR TOWNSHIP HIGH SCHOOL,Cellular Wireless,1,3
2568146,942605,125484,GREENVILLE AREA SCHOOL DIST,Fiber optic/OC-x,1,30
2568153,942599,123074,WASHINGTON TWP SCHOOL DISTRICT,Cable,3,50
2568153,942599,123074,WASHINGTON TWP SCHOOL DISTRICT,Cable,1,100
2568158,942609,128937,KNOTT COUNTY LIBRARY,Cable,1,10
2568164,942628,134356,WEST FARGO SCHOOL DISTRICT 6,Fiber optic/OC-x,1,100
2568166,942614,77082,ST MATTHEW CATHOLIC SCHOOL,Cable,1,10
2568168,942617,139241,ST TAMMANY PARISH SCHOOL DIST,Fiber optic/OC-x,1,1000
2568170,942583,71721,STREATOR TOWNSHIP HIGH SCHOOL,Fiber optic/OC-x,1,20
2568184,942468,145605,PRIBILOFS SCHOOL DISTRICT,Satellite,2,1.75
2568187,942620,123176,CLEMENTON SCHOOL DISTRICT,Cable,1,20
2568189,942275,16064135,NEBRASKA UNIFIIED DISTRICT 1,Fiber optic/OC-x,1,40
2568202,938358,140392,BOKOSHE INDEP SCHOOL DIST 26,Fiber optic/OC-x,1,100
2568205,942643,16061330,PRIDE ACADEMY CHARTER SCHOOL,Cable,1,20
2568206,942444,141141,LA VEGA INDEP SCHOOL DISTRICT,Fiber optic/OC-x,6,1000
2568208,942101,138946,HAYES CENTER PUBLIC LIBRARY,DSL,1,5
2568234,942643,16061330,PRIDE ACADEMY CHARTER SCHOOL,Fiber optic/OC-x,1,100
2568237,942653,124889,CLYDE-SAVANNAH CTRL SCH DIST,Cellular Wireless,5,25
2568254,942444,141141,LA VEGA INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2568258,942672,137847,DOUGLASS UNIFIED SCH DIST 396,Fiber optic/OC-x,1,50
2568266,939523,123218,SOUTHERN REGL HIGH SCHOOL DIST,Fiber optic/OC-x,1,200
2568278,942641,139969,HENNESSEY INDEP SCHOOL DIST 16,Fiber optic/OC-x,1,100
2568286,942649,129727,BETTSVILLE LOCAL SCHOOL DIST,T1/DS-1,1,1.5
2568288,942641,139969,HENNESSEY INDEP SCHOOL DIST 16,Fiber optic/OC-x,1,250
2568304,937089,168317,SMITHVILLE SCHOOL,Dial-up,8,0.056
2568318,939523,123218,SOUTHERN REGL HIGH SCHOOL DIST,Cable,1,100
2568341,938223,139309,OUACHITA PARISH SCHOOL DIST,Fiber optic/OC-x,32,1024
2568341,938223,139309,OUACHITA PARISH SCHOOL DIST,Fiber optic/OC-x,5,10240
2568341,938223,139309,OUACHITA PARISH SCHOOL DIST,Fiber optic/OC-x,1,84992
2568367,941000,54400,CLARA B FORD HIGH SCHOOL,Cable,1,100
2568372,942612,137564,CREST UNIFIED SCHOOL DIST 479,Fiber optic/OC-x,1,50
2568379,942654,120272,OXFORD SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2568381,938328,140033,BARNSDALL SCHOOL DISTRICT,Fiber optic/OC-x,1,150
2568389,942694,44899,ST AUGUSTINE SCHOOL,Fiber optic/OC-x,2,10
2568390,941000,54400,CLARA B FORD HIGH SCHOOL,Cellular Wireless,3,50
2568403,942606,122498,MONROE SCHOOL DISTRICT,Fiber optic/OC-x,5,1000
2568413,942612,137564,CREST UNIFIED SCHOOL DIST 479,T1/DS-1,1,1.5
2568416,942275,16064135,NEBRASKA UNIFIIED DISTRICT 1,Fiber optic/OC-x,1,70
2568419,938223,139309,OUACHITA PARISH SCHOOL DIST,Fiber optic/OC-x,1,2048
2568421,942728,16051973,TALLAVANA CHRISTIAN SCHOOL,Fiber optic/OC-x,1,3
2568423,942731,16038462,REPUBLIC COUNTY USD 109,Cellular Wireless,2,2
2568429,942705,10411,ST PETER & PAUL SCHOOL,Cable,1,50
2568435,936355,128438,RIDGELY PUBLIC LIBRARY,DSL,1,6
2568441,942717,144371,HICKMAN COMMUNITY CHARTER DISTRICT,T1/DS-1,2,1.5
2568447,942717,144371,HICKMAN COMMUNITY CHARTER DISTRICT,Fiber optic/OC-x,2,100
2568449,942717,144371,HICKMAN COMMUNITY CHARTER DISTRICT,Fiber optic/OC-x,1,100
2568451,942715,122498,MONROE SCHOOL DISTRICT,Fiber optic/OC-x,5,1000
2568453,941177,142581,BUTTE COUNTY SCHOOL DIST 111,DSL,3,25
2568455,942689,133194,HOWARD-SUAMICO SCHOOL DISTRICT,Fiber optic/OC-x,8,500
2568481,942731,16038462,REPUBLIC COUNTY USD 109,Cellular Wireless,3,6
2568492,940918,125881,MAHANOY CITY PUBLIC LIBRARY,Cable,1,12
2568507,942621,139101,ALLIANCE PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,100
2568522,942452,134293,CUSTER SCHOOL DISTRICT 16-1,Fiber optic/OC-x,3,40
2568527,942490,140795,EXCELSIOR INDEP SCHOOL DIST,T3/DS-3,1,45
2568532,941182,83726,MOUNT ST MARY'S HIGH SCHOOL,T1/DS-1,12,1.5
2568536,940449,128448,DR. NATHAN PORTER MEMORIAL LIBRARY,Cable,1,30
2568539,942701,128730,MONROE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,5,100
2568539,942701,128730,MONROE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2568547,942749,139271,CAMERON PARISH SCHOOL DISTRICT,Fiber optic/OC-x,6,100
2568552,939081,145611,KENAI PENINSULA BORO SCH DIST,Fiber optic/OC-x,8,100
2568552,939081,145611,KENAI PENINSULA BORO SCH DIST,Fiber optic/OC-x,7,300
2568552,939081,145611,KENAI PENINSULA BORO SCH DIST,Fiber optic/OC-x,1,1000
2568554,942724,138776,HAMPTON PUBLIC SCHOOL DISTRICT,T3/DS-3,1,45
2568556,942750,154708,New River Public Library Cooperative,Cellular Wireless,1,512
2568560,942749,139271,CAMERON PARISH SCHOOL DISTRICT,Fiber optic/OC-x,6,1000
2568567,939081,145611,KENAI PENINSULA BORO SCH DIST,Non-Cellular Wireless (e.g.microwave),2,20
2568597,939081,145611,KENAI PENINSULA BORO SCH DIST,Fiber optic/OC-x,2,10
2568597,939081,145611,KENAI PENINSULA BORO SCH DIST,Fiber optic/OC-x,1,20
2568617,942639,138605,CREIGHTON PUBLIC LIBRARY,DSL,5,3
2568634,939081,145611,KENAI PENINSULA BORO SCH DIST,Fiber optic/OC-x,1,400
2568637,936711,139871,ZANEIS SCHOOL DISTRICT 72,Fiber optic/OC-x,1,10
2568642,939081,145611,KENAI PENINSULA BORO SCH DIST,T1/DS-1,3,1.5
2568649,942686,126925,GATES COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,6,100
2568653,942776,128437,TIPTONVILLE PUBLIC LIBRARY,DSL,1,6
2568675,942735,141078,ROSEBUD-LOTT INDEP SCHOOL DIST,Fiber optic/OC-x,4,1000
2568676,942800,144920,CENTENNIAL SCHOOL DISTRICT 28J,T1/DS-1,2,1.5
2568686,942735,141078,ROSEBUD-LOTT INDEP SCHOOL DIST,Fiber optic/OC-x,1,100
2568697,939081,145611,KENAI PENINSULA BORO SCH DIST,Non-Cellular Wireless (e.g.microwave),5,60
2568697,939081,145611,KENAI PENINSULA BORO SCH DIST,Non-Cellular Wireless (e.g.microwave),1,100
2568703,942791,123097,SUSSEX CO TECH SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2568708,942775,17145,CHRIST THE DIVINE TEACHER SCH,Cable,1,50
2568715,942819,138715,WISNER-PILGER PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2568722,942819,138715,WISNER-PILGER PUBLIC SCHOOLS,Dial-up,10,0.056
2568725,942819,138715,WISNER-PILGER PUBLIC SCHOOLS,Dial-up,8,0.056
2568728,940377,132425,UNDERWOOD COMM SCHOOL DISTRICT,Cable,2,1
2568728,940377,132425,UNDERWOOD COMM SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2568730,942725,128730,MONROE COUNTY SCHOOL DISTRICT,Dial-up,30,0.056
2568731,942819,138715,WISNER-PILGER PUBLIC SCHOOLS,Dial-up,2,0.056
2568732,937607,140304,COLBERT INDEP SCHOOL DIST 4,Fiber optic/OC-x,1,1000
2568734,937607,140304,COLBERT INDEP SCHOOL DIST 4,Fiber optic/OC-x,1,15
2568735,942758,140795,EXCELSIOR INDEP SCHOOL DIST,T3/DS-3,1,45
2568737,942819,138715,WISNER-PILGER PUBLIC SCHOOLS,Fiber optic/OC-x,1,40
2568748,942725,128730,MONROE COUNTY SCHOOL DISTRICT,Dial-up,30,0.056
2568751,942644,126858,HARNETT COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,30,1000
2568752,942819,138715,WISNER-PILGER PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2568754,942838,142714,HOMEDALE JOINT SCHOOL DIST 370,Fiber optic/OC-x,1,10
2568758,942824,134356,WEST FARGO SCHOOL DISTRICT 6,Fiber optic/OC-x,18,200
2568764,942830,128607,HUMPHREYS CO LIBRARY SYSTEM,T1/DS-1,1,1.5
2568768,942767,144684,GLENN CO OFFICE OF EDUCATION,T1/DS-1,4,1.5
2568768,942767,144684,GLENN CO OFFICE OF EDUCATION,T3/DS-3,1,45
2568773,942849,129944,RUSSIA LOCAL SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2568784,942840,131877,IOWA FALLS COMM SCHOOL DIST,Fiber optic/OC-x,1,100
2568788,942826,145029,PORT ORFORD PUBLIC LIBRARY,Cable,2,17
2568790,942767,144684,GLENN CO OFFICE OF EDUCATION,T1/DS-1,1,1.5
2568795,942767,144684,GLENN CO OFFICE OF EDUCATION,Cellular Wireless,46,4000
2568798,942875,122497,EDITH WHEELER MEMORIAL PUBLIC LIBRARY,Fiber optic/OC-x,1,1000
2568799,942842,14065,OUR LADY-LOURDES HIGH SCHOOL,Cellular Wireless,1,5.1
2568802,942779,65356,ST BONIFACE SCHOOL,Fiber optic/OC-x,110,12
2568807,942842,14065,OUR LADY-LOURDES HIGH SCHOOL,Cable,1,50
2568808,942698,140222,WAGONER INDEP SCHOOL DIST 19,Fiber optic/OC-x,5,1000
2568815,942698,140222,WAGONER INDEP SCHOOL DIST 19,Fiber optic/OC-x,5,100
2568817,942842,14065,OUR LADY-LOURDES HIGH SCHOOL,Cellular Wireless,1,5.1
2568828,942698,140222,WAGONER INDEP SCHOOL DIST 19,T1/DS-1,1,1.5
2568841,942751,131877,IOWA FALLS COMM SCHOOL DIST,Fiber optic/OC-x,3,50
2568852,942641,139969,HENNESSEY INDEP SCHOOL DIST 16,DSL,2,3
2568874,936484,230438,AMERICAN LEADERSHIP ACADEMY,Fiber optic/OC-x,6,100
2568874,936484,230438,AMERICAN LEADERSHIP ACADEMY,Fiber optic/OC-x,1,300
2568874,936484,230438,AMERICAN LEADERSHIP ACADEMY,Fiber optic/OC-x,1,600
2568878,942899,131877,IOWA FALLS COMM SCHOOL DIST,DSL,1,3
2568879,942932,120740,NORTH ATTLEBORO SCHOOL DIST,Fiber optic/OC-x,1,200
2568922,942841,141415,HEARNE INDEP SCHOOL DISTRICT,T1/DS-1,1,1.5
2568924,942902,131406,NILES COMM SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),125,1
2568927,942902,131406,NILES COMM SCHOOL DISTRICT,Cable,1,55
2568932,941139,141854,NAZARETH INDEP SCHOOL DISTRICT,T1/DS-1,7,1.5
2568940,942841,141415,HEARNE INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,45
2568947,942905,130142,RIVERDALE LOCAL SCHOOL DIST,Fiber optic/OC-x,1,100
2568957,942890,128445,NED R. MCWHERTER WEAKLEY COUNTY LIBRARY,DSL,3,7
2568958,937607,140304,COLBERT INDEP SCHOOL DIST 4,Fiber optic/OC-x,1,50
2568960,937607,140304,COLBERT INDEP SCHOOL DIST 4,Fiber optic/OC-x,1,1000
2568964,942592,139421,DE QUEEN PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,100
2568965,942592,139421,DE QUEEN PUBLIC SCHOOL DIST,DSL,4,5
