FRN,471 Application Number,BEN,Applicant Name,Type of Connections,Number of Lines,Download Speed
2558952,936356,131511,ALLENDALE PUBLIC SCHOOLS DISTRICT,Cellular Wireless,9,3
2558958,936381,145153,BURNT RIVER SCHOOL DIST 30 J,Fiber optic/OC-x,1,10
2558962,936377,126276,WYOMISSING AREA SCHOOL DIST,Fiber optic/OC-x,3,933
2558967,936380,141048,BUCKHOLTS INDEP SCHOOL DIST,T1/DS-1,4,1.5
2558969,936378,140178,EUFAULA MEMORIAL LIBRARY,Fiber optic/OC-x,1,45
2558970,936389,139577,WYNNE PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,300
2558973,936380,141048,BUCKHOLTS INDEP SCHOOL DIST,T1/DS-1,1,1.5
2558974,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,200
2558977,936385,138332,BEATRICE PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,1000
2558980,936361,125947,LEHIGHTON MEMORIAL LIBRARY,Cable,1,12
2558983,936385,138332,BEATRICE PUBLIC SCHOOL DIST,Fiber optic/OC-x,5,1000
2558990,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,1000
2558996,936396,144464,KELSEYVILLE UNIF SCHOOL DIST,T1/DS-1,4,1.5
2559000,936397,141534,SEGUIN ISD,Fiber optic/OC-x,17,200
2559002,936367,135506,FORD HEIGHTS SCHOOL DIST 169,Fiber optic/OC-x,1,100
2559003,936468,144696,GRANT ELEM SCHOOL DISTRICT,T1/DS-1,2,1.5
2559007,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,54,1000
2559007,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,3,10000
2559010,936236,16025497,TENNESSEE DEPARTMENT  OF CHILDREN SERVICES,T1/DS-1,5,1.5
2559012,936230,200785,IDEAL ACADEMY PUBLIC CHARTER SCHOOL,Fiber optic/OC-x,1,10
2559018,936340,98060,ST CHARLES SCHOOL,DSL,1,20
2559020,936326,145456,CHEWELAH SCHOOL DISTRICT 36,T1/DS-1,1,1.5
2559032,936468,144696,GRANT ELEM SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2559036,936403,128526,WHITE COUNTY PUBLIC LIBRARY,DSL,2,14
2559037,936468,144696,GRANT ELEM SCHOOL DISTRICT,T1/DS-1,2,1.5
2559041,936413,145341,CAMAS SCHOOL DISTRICT 117,Fiber optic/OC-x,7,1000
2559048,936433,200748,RAMPART LIBRARY DISTRICT,Cable,1,20
2559052,936459,140136,GROVE PUBLIC LIBRARY,Fiber optic/OC-x,1,45
2559058,936483,143951,GENERAL SHAFTER ELEM SCH DIST,T1/DS-1,1,1.5
2559062,936464,151245,HULBERT COMMUNITY LIBRARY,Fiber optic/OC-x,1,45
2559063,936287,134181,PARKSTON SCHOOL DISTRICT 33-3,DSL,1,3
2559065,936482,138886,HARVARD PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,40
2559068,936471,144989,CAMAS VALLEY SCHOOL DIST 21,Non-Cellular Wireless (e.g.microwave),1,100
2559069,936413,145341,CAMAS SCHOOL DISTRICT 117,Dial-up,30,0.056
2559069,936413,145341,CAMAS SCHOOL DISTRICT 117,T1/DS-1,3,1.5
2559070,936447,139554,GOSNELL PUBLIC SCHOOL DISTRICT,Cable,1,150
2559075,936464,151245,HULBERT COMMUNITY LIBRARY,T1/DS-1,1,1.5
2559076,936483,143951,GENERAL SHAFTER ELEM SCH DIST,T1/DS-1,3,1.5
2559082,936510,143820,BRIGGS ELEM SCHOOL DISTRICT,Cellular Wireless,2,4000
2559089,936510,143820,BRIGGS ELEM SCHOOL DISTRICT,Fiber optic/OC-x,1,20
2559096,936478,138863,BERTRAND PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,200
2559104,936521,144023,ALVINA ELEMENTARY CHARTER SCHOOL DISTRICT,T1/DS-1,1,1.5
